StepName,Time,Current Memory,Peak Memory,Used Ram Percentage
Split Json,0.0068 Min,0.098577 MB,9.189908 MB,48.3%
0: Heading Extraction,1.0586 Min,2.07039 MB,4.547092 MB,48.4%
0: Document Annotation,0.0261 Min,0.163864 MB,0.198304 MB,48.3%
0: Content Extraction,0.0015 Min,0.816361 MB,4.068191 MB,48.3%
0: Generate XML,0.0091 Min,2.752372 MB,5.303309 MB,48.3%
0: Submit FHIR Msg,0.0653 Min,0.222652 MB,2.148883 MB,48.3%
0: Update/Add List Bundle,0.0484 Min,0.214852 MB,0.244447 MB,48.3%
StepName,Time,Current Memory,Peak Memory,Used Ram Percentage
HTML Conversion To Json,0.1395 Min,6.186469 MB,10.814797 MB,48.0%
Split Json,0.0074 Min,0.246367 MB,9.189032 MB,48.0%
0: Heading Extraction,1.1332 Min,2.015396 MB,4.543873 MB,47.9%
0: Document Annotation,0.0194 Min,0.0148 MB,0.19596 MB,47.9%
0: Content Extraction,0.0019 Min,0.82164 MB,4.067677 MB,47.9%
0: Generate XML,0.0094 Min,2.77412 MB,5.325057 MB,47.9%
0: Submit FHIR Msg,0.0642 Min,0.057472 MB,2.128771 MB,48.0%
0: Update/Add List Bundle,0.0476 Min,0.063794 MB,0.241643 MB,48.1%
1: Heading Extraction,0.3051 Min,0.600642 MB,3.057568 MB,47.8%
1: Document Annotation,0.0002 Min,0.010444 MB,0.166754 MB,47.8%
1: Content Extraction,0.0009 Min,0.303712 MB,0.622825 MB,47.7%
1: Generate XML,0.0054 Min,0.861427 MB,1.927799 MB,47.8%
1: Submit FHIR Msg,0.0344 Min,0.19389 MB,0.814067 MB,47.8%
1: Update/Add List Bundle,0.0487 Min,0.075819 MB,0.28172 MB,47.9%
StepName,Time,Current Memory,Peak Memory,Used Ram Percentage
HTML Conversion To Json,0.1455 Min,5.798243 MB,10.553659 MB,48.3%
Split Json,0.0067 Min,0.266757 MB,9.185857 MB,48.3%
0: Heading Extraction,1.1738 Min,2.178081 MB,4.544131 MB,48.4%
0: Document Annotation,0.0156 Min,0.16028 MB,0.194664 MB,48.5%
0: Content Extraction,0.0021 Min,0.680698 MB,4.073041 MB,48.5%
0: Generate XML,0.0098 Min,2.77489 MB,5.325827 MB,48.7%
0: Submit FHIR Msg,0.0549 Min,0.204558 MB,2.130659 MB,48.5%
0: Update/Add List Bundle,0.0486 Min,0.222259 MB,0.309451 MB,48.6%
1: Heading Extraction,0.4002 Min,0.59245 MB,3.057858 MB,48.4%
1: Document Annotation,0.0003 Min,0.154555 MB,0.166266 MB,48.4%
